worker_id	num_examples	accent	gender	creak	hoarseness	muffled-ness	volume	background_noise
ac874c0428284b4f896618fc6ae93573	18	no	man	no	no	2	4	4
0e29c52b241946f5944a83a562457030	24	no	man	no	no	3	2	2
5f374494de9e4cf295902435c8a96ba3	3	no	man	yes	no	2	3	2
e57cccaac5004cf49d8b40d452647a7e	1	no	woman	no	no	1	2	3
ad0de5a20c5a4ff0b1f76ffd122b72a4	54	yes	woman	no	no	3	2	3
3c05e83ec8704dd8a72f3110365bf32e	85	yes	man	no	no	3	3	1
204bcfb7d5ce4406bcc2eb918a07fbd2	104	yes	woman	no	no	3	2	2
f657620fa4b94be89dfc300b94203233	83	yes	woman	no	no	2	4	1
1a75419f876a4236ab64824fb534c42c	32	no	man	no	yes	1	3	1
b19e55ec0d234b49aac831694f0919be	1	no	man	no	no	2	1	1
5fbbf208b8e3495b8aa5e165b4f5e675	36	yes	man	no	no	3	4	1
034df28f14f74af2a7dbdacc17b9a9d5	1	no	man	no	no	2	4	2
ad441747a8034f29bf9e74beeefec80a	3	no	woman	no	no	3	3	2
1ffe35b4cbf742718c064d355b991bad	8	yes	man	no	no	2	3	2
610b33fd69314b84bd4eedab82c3f69e	8	yes	man	no	yes	1	4	1
e3046c531f1a4f00845aec921fb6c298	3	no	woman	yes	no	2	4	1
47317d553db3431e9fe128afa5b849d9	264	no	woman	no	no	1	4	2
47823a67c3b04caaa3730345c80b02f9	86	yes	woman	no	no	2	3	2
691c520b4c16458d87547c0f2bd382fe	1	no	man	no	no	3	3	1
074ed05e84c74e438a7417794d58879f	92	no	man	yes	no	2	3	2
45887d31931f4c9e8fa40b11c1634621	6	yes	woman	no	no	1	3	1
24d4f6782b9f42fbbdb26b4c4e172267	16	no	man	no	no	3	2	1
776646d756a04492a7e7fdb3c813f918	236	no	woman	no	no	2	3	1
5f4e2345ef7345908d39273a5995a2af	4	no	man	no	yes	1	3	2
bba2d45371d54df59881038d3370583f	26	no	woman	no	no	1	4	1
c1118cb72f084669bc494b653408e84f	12	no	woman	no	no	2	3	1
2fa8c4a0b8d945a1a32ca683a30f8430	122	no	woman	no	no	1	4	3
01b6e4951b1d4913b2d4f2a4e22cec8a	234	no	man	no	no	1	3	1
b15611f064144daeb3cb1a3ceb868adf	118	yes	undet	no	yes	2	3	2
bdced0151ac442bdbf837191a77f8e8b	7	yes	woman	no	no	3	4	3
557e647285d84eba8c6cf2af20b964fd	7	yes	woman	no	yes	3	1	3
3f4d21c0d04c4f8eae668f38084dc99e	1	no	man	no	yes	2	3	1
8e0a74486fd842fe9893363255f03aa4	5	no	woman	no	no	2	3	1
0921d96327c14a7ea4d9d5da601eacc7	14	yes	man	no	yes	2	2	2
cd85b00cc9cb4618ad00bac7d459f9e3	33	yes	woman	no	no	1	4	1
aa07c44a0eb0496da7c8f770a89bd259	9	no	woman	yes	no	1	3	1
3fb5442b96fe4df284573f344ba726f9	17	no	woman	yes	no	1	3	1
107d1f48cc874db3be5c2b109b8e7f74	338	no	man	no	no	1	4	1
aec05c110be9457897342277204966d2	1	no	man	yes	no	1	4	1
3d10f55326ce454199f1d1a2ea4e8453	96	no	man	no	no	3	1	2
492c699ecf9249409c0111f510a0d105	20	no	man	no	no	1	3	1
29cdecd26a474c9a867bc34f39eb828a	186	no	man	no	yes	1	4	1
698b343877ee41f083a4620d06446fe6	18	yes	woman	no	yes	2	3	1
5c9d9698f844412d9ce16fe03e0528f8	16	no	man	no	no	1	3	1
19c185c0a1f2452f8fc976be9741c949	1	yes	man	no	no	2	2	3
4612734ce9d54721901241e33d9adea2	140	yes	man	no	no	3	2	2
7aa6b9b8c0cc45a885142269f43f1742	25	no	woman	no	no	1	3	1
efbc23a792744bddbc17d6843276632a	260	no	woman	no	no	1	3	1
f510b8bd8b824efa8706a59d484c13fd	194	no	woman	no	no	2	4	2
04750efe446f4a78a9289c44bd68c5da	1	no	woman	no	no	2	3	1
a5688ac3113242bfae93fa9dbc973708	80	no	woman	no	yes	2	3	1
1717708c7af5468188e808a8d09b5c98	89	no	woman	no	no	1	3	1
177d1ef2d9e04154aebc1220377cf23a	6	yes	woman	no	no	2	4	1
3c9af6619d174b8791bb4f46de702cd7	38	yes	man	no	no	2	2	1
