hit_id	worker_id	worktime_s	item_id	wav	transcription
301KG0KX9CJZ9R4TA20EVQ2GZK72H4	01b6e4951b1d4913b2d4f2a4e22cec8a	29	lime_2_4	lime_2_4_4	this is a faded green lime it is now yellowish and brown
302U8RURJZZ0GEO61AF22FWNIU8VND	01b6e4951b1d4913b2d4f2a4e22cec8a	27	prescription_medicine_bottle_2_1	prescription_medicine_bottle_2_1_4	this is a transparent orange bottle of prescription medication it has a white yellow and black label and a white cat
307L9TDWJYQG45MNH09WJK44RAFN38	01b6e4951b1d4913b2d4f2a4e22cec8a	28	banana_3_1	banana_3_1_2	this is a yellow bruised banana
3087LXLJ6ME8ZLA90P809HXOM7A0FK	01b6e4951b1d4913b2d4f2a4e22cec8a	35	eye_glasses_4_3	eye_glasses_4_3_1	this is a pair of glasses with a silver frame and brown and yellow ends
30EMX9PEVKHJGGMZA2IHZ0VCPV9KSS	01b6e4951b1d4913b2d4f2a4e22cec8a	12	onion_3_2	onion_3_2_2	this is an unpeeled Purple Onion
30EMX9PEVKHJGGMZA2IHZ0VCPV9SK0	01b6e4951b1d4913b2d4f2a4e22cec8a	18	food_jar_4_1	food_jar_4_1_5	this is a glass jar of green pickles with a blue cap
30EV7DWJTVT9DNDJ74G573EV5LLY6F	01b6e4951b1d4913b2d4f2a4e22cec8a	14	lime_3_4	lime_3_4_5	this is a green line with a barcode sticker
30IRMPJWDZH7F1MMVDIC9QQG3TQKR4	01b6e4951b1d4913b2d4f2a4e22cec8a	18	water_bottle_4_3	water_bottle_4_3_2	this is a standard disposable transparent water bottle it has a blue and white label and a white cap
30P8I9JKOIJWQPI0XAJG8YW1R98V5N	01b6e4951b1d4913b2d4f2a4e22cec8a	24	food_can_4_1	food_can_4_1_2	this is a blue white and yellow can of food its contents are not evident from the label
30U1YOGZGAUB2AGPILWUVN0M5MCSDN	01b6e4951b1d4913b2d4f2a4e22cec8a	44	prescription_medicine_bottle_3_3	prescription_medicine_bottle_3_3_3	this is an orange prescription medication bottle that has a white cap and white label
30UZJB2POHACEGGHD0DAP34I0PG35Z	01b6e4951b1d4913b2d4f2a4e22cec8a	25	syringe_5_3	syringe_5_3_4	this is a transparent syringe with a black plunger and a black tip
30UZJB2POHACEGGHD0DAP34I0PG531	01b6e4951b1d4913b2d4f2a4e22cec8a	14	marker_4_2	marker_4_2_3	this is a large black permanent marker
30Z7M1Q8UYIVLJY4KDZNOVSF8P9A84	01b6e4951b1d4913b2d4f2a4e22cec8a	20	prescription_medicine_bottle_3_4	prescription_medicine_bottle_3_4_3	this is an orange bottle of prescription medication it has a white label and a white cap
3126F2F5F81JHOEXMZ3K60DWIE6PEX	01b6e4951b1d4913b2d4f2a4e22cec8a	18	measuring_tape_4_2	measuring_tape_4_2_2	this is a miniature black tape measure with a keyring
31ANT7FQN80R8ONGSL2CTX5SJUY5H8	01b6e4951b1d4913b2d4f2a4e22cec8a	24	prescription_medicine_bottle_3_2	prescription_medicine_bottle_3_2_1	this is an orange bottle of prescription medication it has a white label with black Print and a white cap
31D0ZWOD0AXD3UT1P9M8VGMXPRX0A7	01b6e4951b1d4913b2d4f2a4e22cec8a	13	spoon_4_1	spoon_4_1_4	this is a silver colored spoon
31HLTCK4BLTU6M7KE627CVNQHIMVG5	01b6e4951b1d4913b2d4f2a4e22cec8a	41	hand_towel_3_1	hand_towel_3_1_3	this is a white hand towel with a Christmas-themed print
31KPKEKW4ABIM4YTVNM4QR6379I0B2	01b6e4951b1d4913b2d4f2a4e22cec8a	10	plate_3_1	plate_3_1_3	this is a red ceramic plate
31ODACBENUD5RJKUN72EVM7LO11SQS	01b6e4951b1d4913b2d4f2a4e22cec8a	15	picture_frame_5_1	picture_frame_5_1_3	this is a black picture frame with a table stand
31YWE12TE0A3HI1ELIZVU37IYQBX77	01b6e4951b1d4913b2d4f2a4e22cec8a	23	spoon_1_3	spoon_1_3_4	this is a wooden cooking spoon
31YWE12TE0A3HI1ELIZVU37IYQC7XI	01b6e4951b1d4913b2d4f2a4e22cec8a	12	lemon_5_4	lemon_5_4_3	this is a yellow lemon
322ZSN9Z5GIZHEABEA0R2O22USXT40	01b6e4951b1d4913b2d4f2a4e22cec8a	18	allen_wrench_5_2	allen_wrench_5_2_2	this is a pack of black Allen wrenches it has a yellow organizer
322ZSN9Z5GIZHEABEA0R2O22USY4TC	01b6e4951b1d4913b2d4f2a4e22cec8a	13	banana_4_3	banana_4_3_1	this is a yellow banana with some bruising
324N5FAHSX9Z88334XNMANFJOZ3KVX	01b6e4951b1d4913b2d4f2a4e22cec8a	19	syringe_5_4	syringe_5_4_2	this is a transparent syringe with a blue tip and a black plunger
32FESTC2NHOHCV2F7UWJQI0S5JMCUO	01b6e4951b1d4913b2d4f2a4e22cec8a	31	hammer_3_1	hammer_3_1_2	this is a steel Hammer with a pink handle
32K26U12DNMRU2XTCG1Z6AKT4Q6VDV	01b6e4951b1d4913b2d4f2a4e22cec8a	25	notebook_2_1	notebook_2_1_2	this is a notebook with a black cover
32LAQ1JNT9NYYC4QTGR9FS0WT5LUTO	01b6e4951b1d4913b2d4f2a4e22cec8a	17	scissors_2_2	scissors_2_2_3	this is a pair of scissors with a blue and gray handle
32ZCLEW0BZIRS40P00EB3GQONM2PJI	01b6e4951b1d4913b2d4f2a4e22cec8a	22	plate_1_4	plate_1_4_3	this is a white paper plate with a small blue and green floral design
338GLSUI43980UUL9RRKJN37HZSSFY	01b6e4951b1d4913b2d4f2a4e22cec8a	18	allen_wrench_4_4	allen_wrench_4_4_3	this is a black allen wrench
33EEIIWHK75LJB1YH27J69RSN5VVQ0	01b6e4951b1d4913b2d4f2a4e22cec8a	17	allen_wrench_3_2	allen_wrench_3_2_2	this is a large black allen wrench
33J5JKFMK6W172ZFXS1DNEZ9WL2Q3Y	01b6e4951b1d4913b2d4f2a4e22cec8a	19	mouse_3_3	mouse_3_3_5	this is a black wired computer mouse with a USB plug
33K3E8REWWT7HW6XVNR1833D9AHX8U	01b6e4951b1d4913b2d4f2a4e22cec8a	20	band_aid_4_3	band_aid_4_3_5	this is a small box of Band-Aids
33KGGVH24UFP6WMCW2IMTTG5V4BX1A	01b6e4951b1d4913b2d4f2a4e22cec8a	10	hammer_6_3	hammer_6_3_5	this is a rubber mallet with a wooden handle
33KGGVH24UFP6WMCW2IMTTG5V4C1XF	01b6e4951b1d4913b2d4f2a4e22cec8a	24	syringe_1_4	syringe_1_4_7	this is a blue and transparent syringe
33KMQD9OFJC923VN35VX04UUWXX77N	01b6e4951b1d4913b2d4f2a4e22cec8a	83	picture_frame_3_3	picture_frame_3_3_2	this is a black picture frame with a table stand
33NKDW9FFXG9TZWACZ76APZWZ12XC0	01b6e4951b1d4913b2d4f2a4e22cec8a	18	medicine_bottle_5_3	medicine_bottle_5_3_4	this is an unopened bottle of cough medication
33P2GD6NRNQUQ78JZ86IVMOAGKSKH7	01b6e4951b1d4913b2d4f2a4e22cec8a	19	water_bottle_1_2	water_bottle_1_2_3	this is a blue reusable water bottle with a blue and gray flip top
33TGB4G0LPFQFGYLYL2WZZZ0NN2XTJ	01b6e4951b1d4913b2d4f2a4e22cec8a	32	book_3_4	book_3_4_3	this is a paperback book with a glossy green white black and orange cover
341YLJU21IXZ5MFDGKIZV23VZXLI2C	01b6e4951b1d4913b2d4f2a4e22cec8a	24	plate_4_4	plate_4_4_1	this is a green ceramic plate
341YLJU21IXZ5MFDGKIZV23VZXM2IX	01b6e4951b1d4913b2d4f2a4e22cec8a	17	syringe_2_4	syringe_2_4_4	this is a transparent orange syringe
34D9ZRXCYRSD43DDYB5S5MSGKJFSAL	01b6e4951b1d4913b2d4f2a4e22cec8a	35	stapler_5_4	stapler_5_4_5	this is a small light purple stapler
34F34TZU7WXV0XZJY23Z73IVCCB2J9	01b6e4951b1d4913b2d4f2a4e22cec8a	25	lightbulb_4_4	lightbulb_4_4_2	this is an opaque white light bulb
34KYK9TV2R6INDI54P5O0XCM210SBG	01b6e4951b1d4913b2d4f2a4e22cec8a	17	medicine_bottle_3_4	medicine_bottle_3_4_2	this is a bottle of Tylenol pain pills
34R0BODSP1XFOEWE2KU68U8FRE65ES	01b6e4951b1d4913b2d4f2a4e22cec8a	25	scissors_2_1	scissors_2_1_2	this is a pair of scissors with a blue and gray handle
